"","FaceID","ID","Participant","FirstRating","GroupRating","SecondRating","Feedback","Change","TimeStamp1","TimeStamp2"
"222",16,"17",86,5,8,4,3,-1,2020-05-11 14:33:33,2020-05-12 06:46:41
"223",16,"1879",95,4,7,5,3,1,2020-05-12 08:11:44,2020-05-12 12:42:31
"224",16,"1918",27,3,6,5,3,2,2020-05-08 09:59:25,2020-05-09 07:13:50
"225",16,"2205",84,7,4,4,-3,-3,2020-05-11 13:59:46,2020-05-12 06:45:37
"226",16,"4520",1,2,4,4,2,2,2020-05-07 13:26:05,2020-05-07 18:11:06
"227",16,"45bites",9,5,7,5,2,0,2020-05-12 14:19:49,2020-05-12 17:32:36
"228",16,"6107",12,5,2,5,-3,0,2020-05-12 16:03:37,2020-05-12 17:33:36
"229",16,"9696",55,3,6,3,3,0,2020-05-10 12:43:53,2020-05-10 18:25:33
"230",16,"andrea",61,5,7,7,2,2,2020-05-11 10:19:49,2020-05-12 08:34:56
"231",16,"Asad",33,2,5,2,3,0,2020-05-13 20:10:11,2020-05-13 21:28:24
"232",16,"ASDF1234",70,4,6,4,2,0,2020-05-11 10:49:57,2020-05-11 11:54:38
"233",16,"Astrid",38,3,5,6,2,3,2020-05-08 12:53:19,2020-05-09 13:27:16
"234",16,"Bøllemis",71,7,4,7,-3,0,2020-05-11 11:03:38,2020-05-11 12:05:46
"235",16,"Carmesin",45,2,4,4,2,2,2020-05-08 17:09:27,2020-05-10 01:58:32
"236",16,"Christian Jacobsen",16,5,3,5,-2,0,2020-05-07 17:23:10,2020-05-07 18:17:29
"237",16,"GOAT",44,6,6,3,0,-3,2020-05-08 16:45:39,2020-05-08 18:12:03
"238",16,"Grandmasterflash",81,4,6,4,2,0,2020-05-11 12:35:37,2020-05-12 22:27:46
"239",16,"havegang7",36,6,0,6,NA,0,2020-05-08 12:04:55,2020-05-08 21:07:31
"240",16,"hejhejhund",52,3,6,4,3,1,2020-05-09 14:09:32,2020-05-10 09:58:15
"241",16,"JakobBjerreKnudsen",75,6,4,5,-2,-1,2020-05-11 11:16:46,2020-05-11 13:32:30
"242",16,"Jesper",82,4,4,1,0,-3,2020-05-11 13:13:10,2020-05-11 15:34:50
"243",16,"Johanne",32,6,6,6,0,0,2020-05-13 19:27:00,2020-05-13 21:01:36
"244",16,"Katrine",76,6,6,6,0,0,2020-05-11 11:26:24,2020-05-11 19:28:47
"245",16,"lilla",73,3,1,4,-2,1,2020-05-11 11:12:11,2020-05-11 13:02:33
"246",16,"Llamaman",74,3,0,3,NA,0,2020-05-11 11:16:30,2020-05-12 10:18:57
"247",16,"minime",97,4,6,5,2,1,2020-05-12 08:19:30,2020-05-13 12:38:49
"248",16,"Misterperc",96,4,2,3,-2,-1,2020-05-12 08:14:46,2020-05-12 13:31:52
"249",16,"Moe",65,2,2,6,0,4,2020-05-11 10:31:13,2020-05-12 16:28:24
"250",16,"Python",69,5,3,4,-2,-1,2020-05-11 10:37:55,2020-05-11 11:59:16
"251",16,"RBJ",47,2,2,5,0,3,2020-05-08 17:17:19,2020-05-09 12:56:32
"252",16,"Rensdyrlam",72,4,4,4,0,0,2020-05-11 11:07:17,2020-05-11 13:45:45
"253",16,"rosenmeier",31,4,1,4,-3,0,2020-05-13 17:39:40,2020-05-13 20:02:00
"254",16,"Sarah",54,6,3,6,-3,0,2020-05-10 08:13:59,2020-05-10 10:46:01
"255",16,"SKJ",10,4,1,3,-3,-1,2020-05-12 15:25:17,2020-05-12 16:45:15
"256",16,"Slowlydying",31,5,7,6,2,1,2020-05-08 11:11:42,2020-05-09 09:54:54
"257",16,"SOJ",79,2,0,2,NA,0,2020-05-11 11:35:22,2020-05-12 20:54:58
"258",16,"The cat",80,8,8,8,0,0,2020-05-11 12:20:26,2020-05-12 13:08:57
"259",16,"wtf",11,1,1,3,0,2,2020-05-12 15:38:57,2020-05-12 18:48:25
"260",17,"17",86,6,4,3,-2,-3,2020-05-11 14:33:33,2020-05-12 06:46:41
"261",17,"1879",95,3,1,3,-2,0,2020-05-12 08:11:44,2020-05-12 12:42:31
"262",17,"1918",27,4,1,6,-3,2,2020-05-08 09:59:25,2020-05-09 07:13:50
"263",17,"2205",84,6,6,6,0,0,2020-05-11 13:59:46,2020-05-12 06:45:37
"264",17,"4520",1,5,3,6,-2,1,2020-05-07 13:26:05,2020-05-07 18:11:06
"265",17,"45bites",9,2,4,2,2,0,2020-05-12 14:19:49,2020-05-12 17:32:36
"266",17,"6107",12,4,6,6,2,2,2020-05-12 16:03:37,2020-05-12 17:33:36
"267",17,"9696",55,6,3,5,-3,-1,2020-05-10 12:43:53,2020-05-10 18:25:33
"268",17,"andrea",61,7,7,3,0,-4,2020-05-11 10:19:49,2020-05-12 08:34:56
"269",17,"Asad",33,1,1,1,0,0,2020-05-13 20:10:11,2020-05-13 21:28:24
"270",17,"ASDF1234",70,4,4,5,0,1,2020-05-11 10:49:57,2020-05-11 11:54:38
"271",17,"Astrid",38,8,5,6,-3,-2,2020-05-08 12:53:19,2020-05-09 13:27:16
"272",17,"Bøllemis",71,7,7,7,0,0,2020-05-11 11:03:38,2020-05-11 12:05:46
"273",17,"Carmesin",45,4,2,4,-2,0,2020-05-08 17:09:27,2020-05-10 01:58:32
