"","ID","FaceID","FirstRating","GroupRating","SecondRating","Feedback","Change","Condition"
"565",16,14,2,4,3,2,1,"Pre"
"566",16,15,4,2,4,-2,0,"Pre"
"567",16,16,4,4,4,0,0,"Pre"
"568",16,17,4,1,4,-3,0,"Pre"
"569",16,18,5,2,5,-3,0,"Pre"
"570",16,19,6,8,4,2,-2,"Pre"
"571",16,2,3,5,3,2,0,"Pre"
"572",16,20,7,4,6,-3,-1,"Pre"
"573",16,21,4,4,3,0,-1,"Pre"
"574",16,22,2,4,1,2,-1,"Pre"
"575",16,23,3,5,5,2,2,"Pre"
"576",16,24,6,3,6,-3,0,"Pre"
"577",16,25,2,5,4,3,2,"Pre"
"578",16,26,7,5,7,-2,0,"Pre"
"579",16,27,3,3,5,0,2,"Pre"
